dataset/uow-archives2,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-dn2pq5sj/export.nq.gz
dataset/blackberry-bold-9900-batteries,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-dp3n15tu/export.nq.gz
dataset/eventseer,Creative Commons Attribution (CC-BY),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-e0di55oa/export.nq.gz
dataset/calling,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-e9cv6yqn/export.nq.gz
dataset/gac-similar-works,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-ebaj48x8/export.nq.gz
dataset/oreilly-opmi,Creative Commons Attribution (CC-BY),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-edebtxw0/export.nq.gz
dataset/elsevier-sponsored-documents,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-eihtl0bv/export.nq.gz
dataset/nxp-documentation,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-eitql6r7/export.nq.gz
dataset/e2,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-ek6gkpoa/export.nq.gz
dataset/ecco-tcp-eighteenth-century-collections-online-texts,ODC Public Domain Dedication and License (PDDL),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-eramc1g2/export.nq.gz
dataset/hishamtestdataset,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-etvhtusx/export.nq.gz
dataset/chembl-rdf,Creative Commons Attribution-ShareAlike 3.0 Unported (CC-BY-SA 3.0),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-f123vjt6/export.nq.gz
dataset/new-york-times,Creative Commons Attribution (CC-BY),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-f4gaqksd/export.nq.gz
dataset/eumida,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-fcdt813h/export.nq.gz
dataset/kasabi-space-training-database,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-flsv0m5o/export.nq.gz
dataset/nhs-performance-data,Open Government License for Public Sector Information,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-foqkt41b/export.nq.gz
dataset/bbc-programmes,BBC Backstage License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-fxigiuib/export.nq.gz
dataset/bricklink-similar-sets,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-g3kqhl40/export.nq.gz
dataset/maomava,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-g6kjs572/export.nq.gz
